Unnamed: 0.1,proposalID.id,voters.id,support,single_vote,name
604,16,0xc33eed63fe5830378f127d0f08c2b0f6ac429494,1,17300000000000000,
605,16,0xc3ba6babbeecc28c34f04a5dfbaff4a18410e289,1,14000000000000000,
606,16,0xc52d24a78207b8c380d9b0ac2e5ec699dad04241,1,10700000000000000,
565,16,0xb302560a220d1adcc69c5f8d19279f572555b01b,1,4000000000000000,
567,16,0xb427fdbadfc56c4d127d19d532c705e0d5284618,1,13300000000000000,
555,16,0xac8efff8b4ecef9f6704c38425d96a7048d938ed,1,20000000000000000,
557,16,0xad15775933be166b389a9a660e8410d06084fbbb,1,20000000000000000,
747,16,0xfb6430c4fe0b170202402db422bc1d720fb49671,1,20000000000000000,
750,16,0xfd18ef8cad226fe63ccc55e4246cd6c4e8161c7e,1,13000000000000000,
670,16,0xe1f581ae7aa4f593f30b0722806b2631b4255da8,1,20000000000000000,
664,16,0xdd913332c4779fefa9e72bf8b0d2613d6ad19663,1,20000000000000000,
613,16,0xc7e6bbf6dbe78b40640385e73dc1958f4428fb3e,1,152222291612597243606164,tobyshorin.eth
646,16,0xd311f7431e960075b31e4debaeefcb5159db85ca,1,10020000000000000000,
622,16,0xca3470f4477de9280ca4f8ecb5240cf464b40f71,1,20000000000000000,
631,16,0xcc4c1346484722e25b19dbb6a5d8c2d959cd43b8,1,11200000000000000,
636,16,0xcfb17c5f697af3e068cd98febef5f0486393f11c,1,14200000000000000,
637,16,0xd03e3cfe79fcd021a1721f591e3ae1f358eeb20d,1,16100000000000000,
638,16,0xd046c54417cc29bef804e88d799560a8a4b6332b,1,11600000000000000,
640,16,0xd08f4ab23fc593d065d382a4f2f45b9f93097001,1,14100000000000000,
641,16,0xd08fef876978527ccd11afda95b6a5ad2a8bee57,1,20000000000000000,
643,16,0xd102ee10cc56d2ee949f1ab1bc25453a6feaed7d,1,20000000000000000,
644,16,0xd1c1d05bc374d6c842197a7d2668eb9e4f53c2db,1,20000000000000000,
648,16,0xd357a7e5c94f46dfbc3c05033b1ff97926a4e4dc,1,20000000000000000,
