,proposal,voter,support,single_vote,name
1435,99,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,1,6,joshuafisher.eth
1251,99,0xa86882277e69fbf0a51805cdc8b0a3a113079e63,1,2,krel.eth
512,99,0x501fea3b37837cde179d1c38595ea6d590becf2e,1,1,brianjcho.eth
1019,99,0x91dccaa260cc4616e1a6e6b693db7207c5e42937,1,1,apenoun.eth
1094,99,0xa068d2ce57234a6324575ecc088f0d3b2c100974,1,1,
1600,99,0xd19bf5f0b785c6f1f6228c72a8a31c9f383a49c4,1,3,cdt.eth
817,99,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e,1,2,noun22.eth
1660,99,0xe085327c5ad2f77147f10973fed45fb19d734f7e,1,1,0xminion.eth
1229,99,0xa68fdb0c7ecdc404637c5c06bab82a7bf00609f3,1,1,artofconviction.eth
564,99,0x5d802e2fe48392c104ce0401c7eca8a4456f1f16,1,14,toadyhawk.eth
322,99,0x33daf8e90cd1f214cc25a1865649e847254f2ece,1,1,
1478,99,0xc8598168d8475133de3150eff9b0ce27fb9b038d,1,1,
1641,99,0xdb94daa8bf1b6f45b122f442f922a2c4dd2f7ade,1,1,brkfstsndwch.eth
1680,100,0xe30585034f5e2ac9635cf94d0fd069d6bac2f7bc,1,1,nounsintern.eth
1573,100,0xceb78abfad166c11e350156fd671b385265a6c87,1,1,gabrielayuso.eth
745,100,0x6f9e3976fa3b5b22761fe5d635e1f0d9d9aeb85d,1,1,skilift.eth
171,100,0x203cc9b81c53fd649bd575e0e19925dd1a2a54da,0,1,
1601,100,0xd19bf5f0b785c6f1f6228c72a8a31c9f383a49c4,1,3,cdt.eth
91,100,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,2,1,goldy.eth
1471,100,0xc46db2d89327d4c41eb81c43ed5e3dff111f9a8f,1,2,deeze.eth
323,100,0x33daf8e90cd1f214cc25a1865649e847254f2ece,1,1,
1213,100,0xa555d1ee16780b2d414ed97f4f169c0740099615,1,2,noun40.eth
1074,100,0x9a2f6117d1ffa82ad0a2b36f133d476db5bd55f5,1,1,bigint-vault.eth
1436,100,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,1,6,joshuafisher.eth
374,100,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,1,1,beautyandthepunk.eth
1827,100,0xf6c625851d48fe26b50d96b821a87efc7e35c222,1,1,1fortytwo.eth
1020,100,0x91dccaa260cc4616e1a6e6b693db7207c5e42937,1,1,apenoun.eth
1661,100,0xe085327c5ad2f77147f10973fed45fb19d734f7e,1,1,0xminion.eth
58,100,0x008c84421da5527f462886cec43d2717b686a7e4,1,5,noun12.eth
1532,100,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5,1,12,nouncil.eth
1252,100,0xa86882277e69fbf0a51805cdc8b0a3a113079e63,1,2,krel.eth
579,100,0x6223bc5fd16a19bcfae2281dde47861cfe1023ee,1,2,
1437,101,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,1,6,joshuafisher.eth
1274,101,0xa8d04cd4e1951291740ef977d56336fdc7f394c5,1,5,wahoo.eth
1574,101,0xceb78abfad166c11e350156fd671b385265a6c87,1,1,gabrielayuso.eth
1910,101,0xfc9e8db5e255439f430e058462360dd52b87cb4f,1,3,signer.seneca.eth
1732,101,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401,0,1,budlight.beer.eth
1602,101,0xd19bf5f0b785c6f1f6228c72a8a31c9f383a49c4,1,3,cdt.eth
1472,101,0xc46db2d89327d4c41eb81c43ed5e3dff111f9a8f,1,2,deeze.eth
324,101,0x33daf8e90cd1f214cc25a1865649e847254f2ece,1,1,
1214,101,0xa555d1ee16780b2d414ed97f4f169c0740099615,1,2,noun40.eth
565,101,0x5d802e2fe48392c104ce0401c7eca8a4456f1f16,2,14,toadyhawk.eth
1533,101,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5,1,12,nouncil.eth
936,101,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,1,13,hot.4156.eth
1368,101,0xb1c41c71d36cedea7ddcd5f8d5c5c32ba8f3cbfc,1,3,
1662,101,0xe085327c5ad2f77147f10973fed45fb19d734f7e,1,1,0xminion.eth
1681,101,0xe30585034f5e2ac9635cf94d0fd069d6bac2f7bc,1,2,nounsintern.eth
1021,101,0x91dccaa260cc4616e1a6e6b693db7207c5e42937,1,1,apenoun.eth
59,101,0x008c84421da5527f462886cec43d2717b686a7e4,1,5,noun12.eth
580,101,0x6223bc5fd16a19bcfae2281dde47861cfe1023ee,1,2,
1075,101,0x9a2f6117d1ffa82ad0a2b36f133d476db5bd55f5,1,1,bigint-vault.eth
92,101,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,1,1,goldy.eth
1253,101,0xa86882277e69fbf0a51805cdc8b0a3a113079e63,1,2,krel.eth
746,101,0x6f9e3976fa3b5b22761fe5d635e1f0d9d9aeb85d,1,1,skilift.eth
172,101,0x203cc9b81c53fd649bd575e0e19925dd1a2a54da,1,1,
1275,102,0xa8d04cd4e1951291740ef977d56336fdc7f394c5,1,5,wahoo.eth
1330,102,0xaca3b4110403f3c4dacb35a7b3aa0a84efb6a3e9,1,1,noun109.eth
566,102,0x5d802e2fe48392c104ce0401c7eca8a4456f1f16,1,12,toadyhawk.eth
325,102,0x33daf8e90cd1f214cc25a1865649e847254f2ece,1,1,
1534,102,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5,1,12,nouncil.eth
1254,102,0xa86882277e69fbf0a51805cdc8b0a3a113079e63,1,4,krel.eth
937,102,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,1,14,hot.4156.eth
1022,102,0x91dccaa260cc4616e1a6e6b693db7207c5e42937,1,1,apenoun.eth
1076,102,0x9a2f6117d1ffa82ad0a2b36f133d476db5bd55f5,1,1,bigint-vault.eth
513,102,0x501fea3b37837cde179d1c38595ea6d590becf2e,1,1,brianjcho.eth
1095,102,0xa068d2ce57234a6324575ecc088f0d3b2c100974,1,1,
1438,102,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,1,6,joshuafisher.eth
1369,102,0xb1c41c71d36cedea7ddcd5f8d5c5c32ba8f3cbfc,1,3,
375,102,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,1,2,beautyandthepunk.eth
1215,102,0xa555d1ee16780b2d414ed97f4f169c0740099615,2,2,noun40.eth
1733,102,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401,1,1,budlight.beer.eth
1603,102,0xd19bf5f0b785c6f1f6228c72a8a31c9f383a49c4,1,3,cdt.eth
1642,102,0xdead753f9b1eb8f2f7372e8587e7c6e342daac89,0,1,maty.eth
1734,103,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401,0,1,budlight.beer.eth
1604,103,0xd19bf5f0b785c6f1f6228c72a8a31c9f383a49c4,1,3,cdt.eth
1663,103,0xe085327c5ad2f77147f10973fed45fb19d734f7e,1,1,0xminion.eth
1643,103,0xdead753f9b1eb8f2f7372e8587e7c6e342daac89,1,1,maty.eth
567,103,0x5d802e2fe48392c104ce0401c7eca8a4456f1f16,1,12,toadyhawk.eth
938,103,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,1,14,hot.4156.eth
1230,103,0xa68fdb0c7ecdc404637c5c06bab82a7bf00609f3,1,1,artofconviction.eth
1216,103,0xa555d1ee16780b2d414ed97f4f169c0740099615,1,2,noun40.eth
1276,103,0xa8d04cd4e1951291740ef977d56336fdc7f394c5,1,5,wahoo.eth
1023,103,0x91dccaa260cc4616e1a6e6b693db7207c5e42937,1,1,apenoun.eth
776,103,0x73222225044ce0fc672ff9b6f9730d0a0421382c,1,1,gnars.com
326,103,0x33daf8e90cd1f214cc25a1865649e847254f2ece,1,1,
479,103,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,1,28,
1331,103,0xaca3b4110403f3c4dacb35a7b3aa0a84efb6a3e9,1,1,noun109.eth
376,103,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,1,2,beautyandthepunk.eth
818,103,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e,1,2,noun22.eth
1370,103,0xb1c41c71d36cedea7ddcd5f8d5c5c32ba8f3cbfc,1,3,
592,103,0x64e9cd118aa8d45c20efeeefd68679372f5e48dc,1,1,jxn.eth
1439,103,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,1,6,joshuafisher.eth
93,103,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,1,1,goldy.eth
1255,103,0xa86882277e69fbf0a51805cdc8b0a3a113079e63,1,4,krel.eth
955,103,0x88f9e324801320a3fc22c8d045a98ad32a490d8e,1,3,
1828,103,0xf6c625851d48fe26b50d96b821a87efc7e35c222,1,1,1fortytwo.eth
1473,103,0xc46db2d89327d4c41eb81c43ed5e3dff111f9a8f,1,2,deeze.eth
400,103,0x3d209a7ddebd2ac83b5e6681d997bdf04d1b9b6b,1,1,mksm.eth
747,103,0x6f9e3976fa3b5b22761fe5d635e1f0d9d9aeb85d,1,1,skilift.eth
1535,103,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5,1,12,nouncil.eth
840,103,0x7dd5b92716542ab2442030df6d87cec437a51ded,1,1,jjb.eth
1077,103,0x9a2f6117d1ffa82ad0a2b36f133d476db5bd55f5,1,1,bigint-vault.eth
173,103,0x203cc9b81c53fd649bd575e0e19925dd1a2a54da,1,1,
1575,103,0xceb78abfad166c11e350156fd671b385265a6c87,1,1,gabrielayuso.eth
94,104,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,1,1,goldy.eth
1829,104,0xf6c625851d48fe26b50d96b821a87efc7e35c222,1,1,1fortytwo.eth
1664,104,0xe085327c5ad2f77147f10973fed45fb19d734f7e,1,1,0xminion.eth
1644,104,0xdead753f9b1eb8f2f7372e8587e7c6e342daac89,1,1,maty.eth
748,104,0x6f9e3976fa3b5b22761fe5d635e1f0d9d9aeb85d,1,1,skilift.eth
1231,104,0xa68fdb0c7ecdc404637c5c06bab82a7bf00609f3,1,1,artofconviction.eth
568,104,0x5d802e2fe48392c104ce0401c7eca8a4456f1f16,1,12,toadyhawk.eth
1078,104,0x9a2f6117d1ffa82ad0a2b36f133d476db5bd55f5,1,1,bigint-vault.eth
956,104,0x88f9e324801320a3fc22c8d045a98ad32a490d8e,1,3,
1440,104,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,1,6,joshuafisher.eth
777,104,0x73222225044ce0fc672ff9b6f9730d0a0421382c,1,1,gnars.com
1536,104,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5,1,12,nouncil.eth
1474,104,0xc46db2d89327d4c41eb81c43ed5e3dff111f9a8f,1,2,deeze.eth
1467,104,0xc44a17c827cd97b7338c074eb00eecb76d69944d,0,0,
1256,104,0xa86882277e69fbf0a51805cdc8b0a3a113079e63,1,4,krel.eth
1605,104,0xd19bf5f0b785c6f1f6228c72a8a31c9f383a49c4,1,3,cdt.eth
1576,104,0xceb78abfad166c11e350156fd671b385265a6c87,1,1,gabrielayuso.eth
593,104,0x64e9cd118aa8d45c20efeeefd68679372f5e48dc,1,1,jxn.eth
480,104,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,0,28,
1332,104,0xaca3b4110403f3c4dacb35a7b3aa0a84efb6a3e9,0,1,noun109.eth
327,104,0x33daf8e90cd1f214cc25a1865649e847254f2ece,1,1,
174,104,0x203cc9b81c53fd649bd575e0e19925dd1a2a54da,1,1,
939,104,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,1,14,hot.4156.eth
514,105,0x501fea3b37837cde179d1c38595ea6d590becf2e,1,1,brianjcho.eth
819,105,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e,1,2,noun22.eth
940,105,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,1,14,hot.4156.eth
1675,105,0xe26d78c6bff297bbc2da3f80fea9a42028a4260f,1,3,
481,105,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,1,23,
946,105,0x87757c7fd54d892176e9ecec6767bc16e04a06a8,1,3,
841,105,0x7dd5b92716542ab2442030df6d87cec437a51ded,1,1,jjb.eth
377,105,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,1,2,beautyandthepunk.eth
511,105,0x4c5816d9a83ddd60c6ef8d1bef23bd0fb920d8c5,1,2,blequity.eth
1024,105,0x91dccaa260cc4616e1a6e6b693db7207c5e42937,1,1,apenoun.eth
1606,105,0xd19bf5f0b785c6f1f6228c72a8a31c9f383a49c4,1,3,cdt.eth
1537,105,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5,1,12,nouncil.eth
1441,105,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,1,6,joshuafisher.eth
1333,105,0xaca3b4110403f3c4dacb35a7b3aa0a84efb6a3e9,1,1,noun109.eth
957,105,0x88f9e324801320a3fc22c8d045a98ad32a490d8e,1,3,
1277,105,0xa8d04cd4e1951291740ef977d56336fdc7f394c5,1,5,wahoo.eth
665,105,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,1,6,beautifulnfts.eth
