,proposal,voter,support,single_vote,name
1728,45,0x7c59a6ac0edea2375618ef4cb5b1a1e97f8ecb90,1,0.05454428,
1795,45,0x8169522c2c57883e8ef80c498aab7820da539806,1,101000.02465446974,
426,45,0x1d29756e8f7b091ce6c11a35980de79c7eda5d1f,1,50010.46021410061,
1779,46,0x7f89077b122afaaf6ab50aa12e9cb46bb9a058c4,1,8018.20777573,
2024,46,0x8aef943d5a12e77443c14c65412fbf7024274bf8,1,0.04016737,
1740,46,0x7d96a6f41fd31c7624f7069415be58b5e3576d34,1,120.72685103011027,trilez.eth
910,46,0x44c69653fa05b0e7c12488a4441b9368da43aabd,1,0.25,jthrack.eth
1841,46,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,102.75636161414054,
824,46,0x400704a17a66de7f7682ff230d0cf12225987f4e,1,0.07297057121835547,
1796,46,0x8169522c2c57883e8ef80c498aab7820da539806,1,101000.02465446974,
1258,46,0x582cd2fb9b6f228acf4edf8f6c608ddace41d468,1,6563.589999999999,
1729,46,0x7c59a6ac0edea2375618ef4cb5b1a1e97f8ecb90,1,0.05454428,
2321,46,0x9b68c14e936104e9a7a24c712beecdc220002984,1,10646.542728982231,getty.gfxlabs.eth
446,46,0x1dd7572702295a30201c4e48d19c40bf4eae5962,1,0.04958785,
2047,46,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,12514.38334879738,monetsupply.eth
575,46,0x2b384212edc04ae8bb41738d05ba20e33277bf33,1,7745.112619612217,arr00.eth
1129,46,0x5274b3bebc974f3cf661efe149bf4c6f4cdc59d2,1,4773.3099999999995,
1193,46,0x54a37d93e57c5da659f508069cf65a381b61e189,1,100075.901094472,
427,46,0x1d29756e8f7b091ce6c11a35980de79c7eda5d1f,1,50010.46021410061,
346,46,0x18c8f1222083997405f2e482338a4650ac02e1d6,2,18378.75,
1419,46,0x6626593c237f530d15ae9980a95ef938ac15c35c,1,126146.28723815212,
1297,46,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,1,57785.755787858405,
1963,47,0x88fb3d509fc49b515bfeb04e23f53ba339563981,1,101.1240419014485,
259,47,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,50008.927984948416,
1420,47,0x6626593c237f530d15ae9980a95ef938ac15c35c,1,126085.36384706036,
428,47,0x1d29756e8f7b091ce6c11a35980de79c7eda5d1f,1,50009.49453446615,
365,47,0x19b570af5dddb8f0f5a15c83d07a1c5153865188,1,0.8058410532497946,
1901,47,0x8579363b49bac7f7c6772afeea65d05a72d2213a,1,0.35188069680803624,
1331,47,0x5d8908afee1df9f7f0830105f8be828f97ce9e68,1,50002.71161405984,
1842,47,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,102.75636161414054,
1741,47,0x7d96a6f41fd31c7624f7069415be58b5e3576d34,1,410.0597686087811,trilez.eth
1194,47,0x54a37d93e57c5da659f508069cf65a381b61e189,1,100079.95467895956,
1034,47,0x4b7ec805ae47e8696c212ee1e259a291316440d4,1,0.2655,
962,47,0x458ceec48586a85fcfeb4a179706656ee321730e,1,50000.79180809013,calblockchain.eth
2322,47,0x9b68c14e936104e9a7a24c712beecdc220002984,1,10000.0,getty.gfxlabs.eth
911,47,0x44c69653fa05b0e7c12488a4441b9368da43aabd,2,0.25,jthrack.eth
