,id_proposal,support_votes
615,"('0x2fb71276c182cd72b58a9372b89cd190f672dffb', '105')","(1, '100000000000000000')"
287,"('0x14a6f0b44e662c48d6c32285ee79422bbefe9d03', '105')","(1, '0')"
1691,"('0x7f59be872c50a195056ed409a193495a8f490275', '105')","(1, '10000000000000000')"
303,"('0x15d789d4dd128cea5d8e6b6f0adabe910e5fd100', '105')","(1, '25900000000000000')"
1946,"('0x8bace51e4c478aeff8fb72ad323a79755f27aefa', '105')","(1, '0')"
1690,"('0x7f3cd654d6de6073f9d5a91569196ee2b84f003a', '105')","(1, '10000000000000000')"
1943,"('0x8b918c0abd57888e1e5e7862b20cb6aeaddf54e2', '105')","(1, '10000000000000000')"
756,"('0x3d8983f01b2088f05497079cd0edda9760eeadb6', '105')","(1, '100000000000000000')"
757,"('0x3d8a6990a98910fe87d007c78a1d632b91dc7ca9', '105')","(1, '0')"
762,"('0x3d93b4e055252526dba09f9cbb198e7be7f43031', '105')","(1, '110000000000000000')"
2060,"('0x908042de37497284a26cb6e89c0ddbd820d22647', '105')","(1, '10000000000000000')"
1687,"('0x7ee58c703c3a93838b2e86639fee62d3815b6bac', '105')","(1, '10000000000000000')"
444,"('0x2069fb2721738b4c38e5d916ca9a9e3a5a35a62d', '105')","(1, '60000000000000000')"
1681,"('0x7ea5d1fa47ae7ce64ea260c20f08ddb8bee24555', '105')","(1, '10000000000000000')"
291,"('0x14fd9303bf2386b47c6ad72631fed472a43214c6', '105')","(1, '129619921863378346')"
1881,"('0x88d2c34c3c59069f823d9f5011662b6111862282', '105')","(1, '13574685868065674')"
2099,"('0x9212e74fb08d5e02d1f9ada1b65981f184b7157b', '105')","(1, '5000000000000000')"
2066,"('0x910c60c049d833a7fd2f5bda310bbea1c5fa3598', '105')","(1, '396142877042742392')"
1673,"('0x7dd4ed76950cd848494d259868d0537144c18d37', '105')","(1, '10000000000000000')"
805,"('0x40cf224a5e91949bd2ba4276d046c4680c8d646c', '105')","(1, '200000000000000000')"
2102,"('0x922f9785cb22e37a75b09cbd6bf3b15559209047', '105')","(1, '100000000000000000')"
844,"('0x438316a6367178f64769a570a968a83264747b19', '105')","(1, '10000000000000000')"
1618,"('0x7a67928bb379974768668d50ab991eefb5f08c0e', '105')","(1, '45897360000000000')"
498,"('0x27b0fc6c4a5a0cf213a570097279a5bde61214d2', '105')","(1, '95000000000000000')"
1922,"('0x896b23087c521916a208c7a48606c59e0694db6f', '105')","(1, '110000000000000000')"
229,"('0x11573bc2152e215ed3071d7668084518cbbed215', '105')","(1, '0')"
1606,"('0x7a586b81960b935f5d1780c57d89712525723d5e', '105')","(1, '10000000000000000')"
842,"('0x4361b66fa886c89c2778f5cdcfa36582c1c2631c', '105')","(1, '0')"
227,"('0x110ef3690d553584073016287f3406955430c8ab', '105')","(1, '60000000000000000')"
471,"('0x237d29b88ac4dffb3a3d6cc3d7fc407bcd8459c9', '105')","(1, '100000000000000000')"
479,"('0x24b06b32759da77c1cb926cfd0c881967b4b3176', '105')","(1, '200000000000000000')"
1603,"('0x7a3bdee62dd34fac317ae61cd8b3ba7c27ada145', '105')","(1, '0')"
1590,"('0x7977b909d55a53f9c73140f7f611eaf0638238ed', '105')","(1, '10000000000000000')"
1587,"('0x79748bfc42a567c58682add44a072f8900a84998', '105')","(1, '11000000000000000')"
1586,"('0x7926eb17a9d2a3ebd0dfcd035b86468115b7fd18', '105')","(1, '42000000000000000')"
1926,"('0x89ec3894e7832541eb1730263ea3532c0ee6bb67', '105')","(1, '250000000000000000')"
518,"('0x2917634fd7319c38d377fff1d9ccac4505921339', '105')","(1, '0')"
239,"('0x12aa51398f4369add0e3522ccb3298f99080a9b2', '105')","(1, '10000000000000000')"
1918,"('0x892106dd258540d7eb82d0b634e421e4d0ea1e19', '105')","(1, '200000000000000000')"
1863,"('0x88a28511ad48478c2f5511e4020e37b517163398', '105')","(1, '10000000000000000')"
1643,"('0x7b9a7d69832f353e54d65188473dde2a7789f612', '105')","(1, '10000000000000000')"
813,"('0x410a0887cc91ccf1e8db56422b9a5d8b078c2200', '105')","(1, '100000000000000000')"
2108,"('0x92eebad529815f83348a1cbfd21bba700d8647e2', '105')","(1, '100000000000000000')"
815,"('0x4135a11e63897f20483040b897dc99555d418f3a', '105')","(1, '0')"
820,"('0x413fd6b18910e516da68d3292ab9b2dd3a87971d', '105')","(1, '10000000000000000')"
1623,"('0x7ade7cff9c5ff367dd83f9d9293661689c355ccb', '105')","(1, '100000000000000000')"
515,"('0x2900a1701bc7398a4203cc4f331138b75ce86c5d', '105')","(1, '200000000000000000')"
514,"('0x289d1955e6bacd8ad7dd8db6e3dfe162c1622f84', '105')","(1, '0')"
505,"('0x2805ddf1dfedeca06752907f493f5a5c9bb2c902', '105')","(1, '10000000000000000')"
2118,"('0x9436dbf17ec89b0fe30f1030c6f4c55cf49cb536', '105')","(1, '0')"
826,"('0x4254c53fc3b3b38df025ea30bcae410e11bb95b6', '105')","(1, '275000000000000000')"
245,"('0x13ac0d7bb293163922ca296a0c3fb1b236c815f0', '105')","(1, '10000000000000000')"
833,"('0x42a01ba13f8f7fc3999fec82cccd1f7459800487', '105')","(1, '200000000000000000')"
2115,"('0x93edd247a2e4cbd000708b04925569a341a34524', '105')","(1, '200000000000000000')"
744,"('0x3cbf036d6c709fd723d3bcc0b4123c603260fdde', '105')","(1, '2220000000000000')"
2054,"('0x8fd882824d5520500a8f615117e9516213d00d6d', '105')","(1, '10000000000000000')"
308,"('0x16ca503edbbccfbbe2520613343770ab863ecf92', '105')","(1, '100000000000000000')"
400,"('0x1d15c5bf898d2ab5d46cae78176736d49822d0b2', '105')","(1, '10000000000000000')"
583,"('0x2c0badc1679fb7666e4705ef3c0084654bc81673', '105')","(1, '187727560000000000')"
647,"('0x3266424c9bee709ef24965b0ddfdc504cb382a2a', '105')","(1, '250000000000000000')"
580,"('0x2bc05ae76e47849692b6ba5fc39e7bf07d6dc750', '105')","(1, '0')"
573,"('0x2b384212edc04ae8bb41738d05ba20e33277bf33', '105')","(1, '20663830056495461632392')"
658,"('0x3327da45e4be37e57101f3a327cd166a335c3142', '105')","(1, '100000000000000000')"
646,"('0x3216144140da978122d8876450c3257bea45f3c6', '105')","(1, '100000000000000000')"
1744,"('0x8368fdbf80fde3772790e57317afab59960060b3', '105')","(1, '100000000000000000')"
664,"('0x335d2d954cec61cb4673780300d890340a29dd99', '105')","(1, '200000000000000000')"
1837,"('0x86ce032489383ec0564bad2ed868048f0b1030f2', '105')","(1, '100000000000000000')"
2036,"('0x8f547de1cd8324a6a2d2acca212775b22ac46afb', '105')","(0, '100000000000000000')"
1839,"('0x871e32d0b725ad5c22239c15f0860c47e7935abb', '105')","(1, '10000000000000000')"
2037,"('0x8f5ee64714ed137e7990457e8457c7b1ee6900de', '105')","(1, '100000000000000000')"
1738,"('0x82704099044e1a6f6df4ca029f8aded65faedab5', '105')","(1, '10000000000000000')"
2032,"('0x8ebc08c08b79c7ee7de645fde878d0dbcdbf93ae', '105')","(1, '75000000000000000')"
1737,"('0x82484b07668ff20b15af9ae7796b301724e15a27', '105')","(1, '10000000000000000')"
643,"('0x32066c4ae40983d9d18b211fde0fee01ceaff6b5', '105')","(1, '260000000000000000')"
398,"('0x1ccb144b700ec726d37db38c617e154de6d9c0d0', '105')","(1, '192412639802599527')"
2023,"('0x8e4583929f162a77329240cd1a17ab4d9d18e043', '105')","(1, '0')"
1234,"('0x5b8c960125db8e22c386cab7b7fbb511c23d61f3', '105')","(1, '10000000000000000')"
1811,"('0x84e39a52d7f3f8fb63723782653d4cf71c465a95', '105')","(1, '11500471444371433923')"
382,"('0x1bbd33a95889c76931ddcd072c2f74b12cf4af17', '105')","(1, '200000000000000000')"
603,"('0x2d564fb4dfc50f300fcadb6b2cdf14bd2de1bed8', '105')","(1, '10000000000000000')"
379,"('0x1ba1ff69f03d38af7ef40e3afdc53ad073eb4642', '105')","(1, '200000000000000000')"
640,"('0x3155974c04340f8dd1a81ad8101e85cfdcb975d8', '105')","(1, '0')"
1817,"('0x84f3601c2b6c7e6215d369c9f47d8e71191b028e', '105')","(1, '10000000000000000')"
2016,"('0x8d6d5519a1f759d94e4ca2caf572028e55edfcbc', '105')","(1, '10000000000000000')"
621,"('0x2ffb3b4323959288063e5288d99980a4c7d4f25f', '105')","(1, '100000000000000000')"
2029,"('0x8e90b127617675af12df051caa6435e40a9ade9b', '105')","(1, '0')"
633,"('0x3066856ed81b4f9c9c83f756c5a28c76bd8ef4a3', '105')","(1, '15000000000000000')"
636,"('0x30a56ab7aa837cc4c33944ea0bd155d45b332c23', '105')","(1, '110000000000000000')"
1751,"('0x83f4ed64d635119edcb539f5de1bc192de3d934a', '105')","(1, '200000000000000000')"
2018,"('0x8dbbfdce816e079c9ff0ef901cc77050c17dd281', '105')","(1, '10000000000000000')"
742,"('0x3c807af9ab4b6be4b0740bfe464dc0df2a8e519b', '105')","(1, '60000000000000000')"
1572,"('0x77c9e49073d9830723195f3788570c2c36c97688', '105')","(1, '10000000000000000')"
685,"('0x351e826c4d9f0d65bda605c0bec56ba33a388b8d', '105')","(1, '100000000000000000')"
1709,"('0x7ff4f8fe1dbbba8dc27103359bf96e97a4d44114', '105')","(1, '0')"
432,"('0x1f2910331d564341ba9a9762f2b7eca182230b2f', '105')","(1, '10902840000000000')"
433,"('0x1f63690d46ac591366508eb66ff585f6d0bfc42e', '105')","(1, '200000000000000000')"
728,"('0x3b59e42d9f33906ff58813f9bb8be58b185d22f2', '105')","(1, '50000000000000000')"
1707,"('0x7fd22b67148b4eeeecd6f3e27dd4c3cbc63c2691', '105')","(1, '0')"
1706,"('0x7fb04e8cae8cd58efee40452b18e7ec366b6d52f', '105')","(1, '10000000000000000')"
324,"('0x1857a43cfe391b69e13011b03fd1d3f6a0f4e7d8', '105')","(1, '10000000000000000')"
737,"('0x3c0def24bf7acd8443f07933b5fd1029c79c6892', '105')","(1, '0')"
436,"('0x1f66c2da9c0b75fad451fb15ca8fcedd9a81fc31', '105')","(1, '0')"
312,"('0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e', '105')","(1, '224185960000000000')"
1861,"('0x886f55e670cf0e0749cae8e58ba355ae5f804575', '105')","(1, '100000000000000000')"
438,"('0x1fc0218c88abce669273d29953f0efac0aa241e5', '105')","(1, '20000000000000000')"
611,"('0x2e73f6630520a86623d2cc54a7c659827622f3a5', '105')","(1, '100000000000000000')"
309,"('0x16d23a44b8d0bf07269e07e0bc52fda3afacada7', '105')","(1, '0')"
739,"('0x3c413bf403d3fbae8e36e17674a709e195aace33', '105')","(1, '0')"
2041,"('0x8fa3232ff0a45de66f1810096189a0f6f4ea8724', '105')","(1, '504992632140463401')"
725,"('0x3b5362ceb3c417148bbec31c7927c65ff7987326', '105')","(1, '10000000000000000')"
537,"('0x2a2c64a7f3357231acc1ca5cb9b59d67215a8ad3', '105')","(1, '10000000000000000')"
1841,"('0x8730b2d81ce2ee4ec0124d7bcde9393e8a315344', '105')","(1, '0')"
1954,"('0x8c69f8d2f360d0bd12cb73b92e90a380e32987bb', '105')","(1, '1004999876247370967')"
698,"('0x37335c7911924909e2c542282be3474b7f6a70db', '105')","(1, '100000000000000000')"
1844,"('0x8755f08374bb0bc598681c324913cbde3283ac18', '105')","(1, '124635491816387420')"
699,"('0x373be74324aff93be17fce300173aaebb999e7ba', '105')","(1, '66000000000000000')"
424,"('0x1dfe2514cf65ebc27dfa99e1298104edf14be499', '105')","(1, '10000000000000000')"
1716,"('0x810d3aabbbf8cbcff5c256f2b0621c4941f8b139', '105')","(1, '1150000000000000000')"
337,"('0x1958970810eeafa3b6ecbe154fefe5b52d114fa6', '105')","(1, '10000000000000000')"
335,"('0x1905c219482c168a1f016d84446bdb6db3ebd8d1', '105')","(1, '10000000000000000')"
1851,"('0x87ab51bc3616ada5d988c5ba2c60771c2a11bdca', '105')","(1, '0')"
710,"('0x397ac9aa39e3b76e3a10de427a79131524e6339e', '105')","(1, '17466580000000000')"
717,"('0x3aab9b3145df48a22ae337d50d1d66a3b2a3bda0', '105')","(1, '75000000000000000')"
1856,"('0x885ea391039e0fa3f6833a1f3b6d7433b5b69bb6', '105')","(1, '1406638019587899')"
540,"('0x2a31e4ec1920790c085ad61ead6d8bf6867df108', '105')","(1, '100000000000000000')"
705,"('0x3891e54bb321a2889c6fbfd8efaf5d536627550c', '105')","(1, '0')"
1555,"('0x763985afec190ec7cbb41943609771f368cadacc', '105')","(1, '0')"
475,"('0x23fcd2644d74df98130caa12bf980af7c0dd2b85', '105')","(1, '110000000000000000')"
1061,"('0x51b05c06e1079babb010c3db487634089045389a', '105')","(1, '0')"
134,"('0x080a75c96bf646cd9f78aaf8c9869a510e9c68bb', '105')","(1, '200000000000000000')"
1311,"('0x61b27dffd80a11e5bcb4f2a8f2b5f4d97f54c2ac', '105')","(1, '75000000000000000')"
1021,"('0x4dbfce0d1e297524631b6a26852572380cd56aad', '105')","(1, '10000000000000000')"
1304,"('0x611a6ed28cb59dee17df7b579bf3796b10e326a6', '105')","(1, '200000000000000000')"
137,"('0x083ba491dabb3827f2cfb1e902508dd1ea5d61d3', '105')","(1, '10000000000000000')"
1018,"('0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9', '105')","(1, '174539910726058188')"
141,"('0x089dca5f159e492b70660f8d95e9698a09d38a0b', '105')","(1, '100000000000000000')"
2214,"('0x9b13ebdaf067738c6b2476354efb2cfe12d74f51', '105')","(1, '15000000000000000')"
56,"('0x0516cf37b67235e07af38ad8e388d0e68089b0f2', '105')","(1, '0')"
1457,"('0x6bf3b32c6cd3d657f602347666244377793282e3', '105')","(1, '10000000000000000')"
1299,"('0x60924cce392bb442220db8c867de4b56b6a8fa33', '105')","(1, '100000000000000000')"
1006,"('0x4d246e41d7131ff60cd533c13bd2aafce7ab1265', '105')","(1, '200000000000000000')"
1462,"('0x6c51a5ef1b6736b63c965b3057ae5c5b50de76d3', '105')","(1, '114000000000000000')"
54,"('0x04e96cdcfbcce8c972c5f976117784933e0cc6af', '105')","(1, '12484770000000000')"
150,"('0x0a030ed2b5b7bc9fe8676e1be40cc228e66b3b55', '105')","(1, '30000000000000000')"
2213,"('0x9af46bec9987a7f71a60e53f846747e7ab522d8d', '105')","(1, '10000000000000000')"
