,Unnamed: 0,voters.id,proposalID.id,support,single_vote,name
574,574,0x2c0badc1679fb7666e4705ef3c0084654bc81673,109,1,187727560000000000,forlove.eth
575,575,0x2c0badc1679fb7666e4705ef3c0084654bc81673,111,1,187727560000000000,forlove.eth
576,576,0x2c17c733cefc0e618850b546d9df53cdbfa29725,109,0,0,suzumiya.eth
577,577,0x2c8fcd22dc4260e07f7653d36d61d642a7cda018,111,1,0,
578,578,0x2c9ff426c3fa791cb43f9a33ce6885fa78e87aec,108,1,60000000000000000,
579,579,0x2cab3506ad7cee6fe29f3a4695f69488baad98ec,43,1,589033660000000000,
580,580,0x2cab3506ad7cee6fe29f3a4695f69488baad98ec,44,1,589033660000000000,
581,581,0x2cab3506ad7cee6fe29f3a4695f69488baad98ec,51,1,589033660000000000,
582,582,0x2cab3506ad7cee6fe29f3a4695f69488baad98ec,52,1,589033660000000000,
583,583,0x2cced186c0b172443884b0dae52695e847ee010d,109,0,0,zjw023.eth
584,584,0x2d2d768fd67b3ce4673049d0c39e2ddf2af4c2bf,111,1,3000000000000000,
585,585,0x2d42af353533fe0911e6d2046ce773be2d758ce0,43,1,14988595716426032,
586,586,0x2d42af353533fe0911e6d2046ce773be2d758ce0,49,1,14988595716426032,
587,587,0x2d42af353533fe0911e6d2046ce773be2d758ce0,53,1,14988595716426032,
588,588,0x2d4f27d56c17df538de16e601bdc44d365d0aab3,108,1,129000000000000000,sf2ce.eth
589,589,0x2d564fb4dfc50f300fcadb6b2cdf14bd2de1bed8,105,1,10000000000000000,
590,590,0x2d564fb4dfc50f300fcadb6b2cdf14bd2de1bed8,111,1,10000000000000000,
591,591,0x2d5823e8e8b4dfbf599a97566ff2a121cc141d60,93,1,0,orchidprotocol.eth
592,592,0x2d5823e8e8b4dfbf599a97566ff2a121cc141d60,111,1,0,orchidprotocol.eth
593,593,0x2d59309df7ab517e554b5e9033f7950d57801aff,111,1,2300000000000000,zuiai.eth
594,594,0x2d5a2b0b65ca2e90306d23175045b6bd9dac98b6,109,0,0,leeyifengleexiaolin.eth
595,595,0x2e0d91866fe0b1e3c50829bf3067dcde46720432,111,1,1200000000000000,
596,596,0x2e2443902809798bd8d9b9866d21f95ea0b605b9,111,1,0,
597,597,0x2e73f6630520a86623d2cc54a7c659827622f3a5,105,1,100000000000000000,
598,598,0x2ed0f4e9769591d8eff038abd884187c8101c7f3,111,1,0,zukidao.eth
599,599,0x2ede0cbd87e6455b2cce0b24993537761aba4118,111,1,0,evmchan.eth
600,600,0x2f950d106a9d581c9bfa299b3d6fa19d3f767715,109,0,0,
601,601,0x2fb71276c182cd72b58a9372b89cd190f672dffb,105,1,100000000000000000,
602,602,0x2fc7183e5d063dc9e22bdaee8953b69c079ee3d5,43,1,25000000000000000,
603,603,0x2fc75b5d7ce406d1066554212fb046d21793a17b,53,1,894219096150000000000,
604,604,0x2fc75b5d7ce406d1066554212fb046d21793a17b,54,1,894219096150000000000,
605,605,0x2fd6181541bebe30d17cf3a5d9f40ebcecbdba43,50,1,20002054464220621716513,
606,606,0x2fd6181541bebe30d17cf3a5d9f40ebcecbdba43,57,1,20002054464220621716513,
607,607,0x2ffb3b4323959288063e5288d99980a4c7d4f25f,105,1,100000000000000000,
608,608,0x30086306afc449739fd7e320600715ce132c360d,43,1,25000000000000000,
609,609,0x300871c1c6024f8f9a7afe3bf22f3d538c8b96ae,106,1,0,zhupp.eth
