,id_proposal,support_votes
2015,"('0x36d74b81006732a0b24218a562b6b6c774c91113', '11')","(1, '1004999937273095767')"
1136,"('0x1f79d23914e1a65fdfb74c0a4f0c61d7bee3a187', '11')","(1, '1401249061735184501')"
568,"('0x1111115195b95dd899e06952e6a26bfc901d8974', '11')","(1, '545405530000000000')"
1685,"('0x2d44cc4992684256b637f3c63731f1b7cdfa1c19', '11')","(1, '1100000000000000000')"
1157,"('0x2017df91b7eb69308a2a4c08d123d9cc69b28d83', '11')","(1, '110000000000000000')"
1155,"('0x200998f1c6bb56b100752c9334dd445c7d0740c3', '11')","(1, '129529382551645759330')"
1978,"('0x358abb5b95f814c833746a2d0e98bbc227cb6e3c', '11')","(1, '1000099000000000000')"
1160,"('0x2027085291a27394888acc53785b4179f060e145', '11')","(1, '2200000000000000000')"
603,"('0x127d60193f08626e168099fc2277e31f5a89b1a7', '11')","(1, '5094665727946322882')"
602,"('0x126660780ed3ce973e2335115e204052a29600cd', '11')","(1, '1038000000000000000')"
601,"('0x124d05e1cf1316141463224e3b9a9592044ee325', '11')","(1, '4630190415716033426')"
1986,"('0x35e3a5f9a59a441f5b87416ed68eb99753e59171', '11')","(1, '0')"
1693,"('0x2d564fb4dfc50f300fcadb6b2cdf14bd2de1bed8', '11')","(1, '1000000000000000000')"
598,"('0x11d9f43c216d2cbe066de087ed5b2147d9ffba01', '11')","(1, '1100000000000000000')"
595,"('0x11d79ce73bce4c3a6928bb79720d0d70f6d1436f', '11')","(1, '1100000000000000000')"
1988,"('0x35e6fc00e3f190a8dfe15faa219368a01028ec14', '11')","(1, '100000000000000000')"
1702,"('0x2d9e673d1cc5b2618025f43659788fdfcf8d9931', '11')","(1, '0')"
1165,"('0x20879c965b29a728ef87a2eb391e8bd8f6cd0dc0', '11')","(1, '2000000000000000000')"
1149,"('0x1fc0218c88abce669273d29953f0efac0aa241e5', '11')","(1, '1160000000000000000')"
1976,"('0x357766f47fe7e5f705986a536b8592d5758e3a8e', '11')","(1, '3000000000000000000')"
1991,"('0x360b1c3360c3055fbabf8e154b97a21f082ec43b', '11')","(1, '1000099000000000000')"
1709,"('0x2e1e3d82712b86a07a85f0cf51326eda3afc1f8f', '11')","(1, '50000000000000000')"
1139,"('0x1f8a7898d5237ff11ea52d85cc3b633e6be9a939', '11')","(1, '2000000000000000000')"
2006,"('0x366e58737164430af4aed2856840be9bb148bdc7', '11')","(1, '1942959887271445765')"
1180,"('0x2117eb88300a5afa11ee55e3c4f2ff0157718bd1', '11')","(1, '2000000000000000000')"
1706,"('0x2dcc5cbf6a0a6d3665d00180e9ca089931a4c511', '11')","(1, '2100000000000000000')"
1177,"('0x21164a81912aea844a5adfe643b84d7010736c23', '11')","(1, '200000000000000000')"
531,"('0x0f8361ef329b43fa48ac66a7cd8f619c517274f1', '11')","(1, '10808324397430080000')"
1705,"('0x2dab92779000452263badc181ac6d80146b03213', '11')","(1, '1000000000000000000')"
1169,"('0x20a9c26a80cd2cea91d3a4f16e5efccc45d3ff5b', '11')","(1, '1160000000000000000')"
1994,"('0x3613c92ebf2d3d60dc1ba8979fb2c5299dda49ec', '11')","(1, '50000000000000000')"
583,"('0x11a707db15bae7eb6662356d9930b779e17f846c', '11')","(1, '1000000000000000000')"
623,"('0x12cd3dca194161fe3535755075499f115982ee63', '11')","(1, '2000000000000000000')"
1147,"('0x1f9f2cea24f8abf8c6f1a159989f39a0624a7cd9', '11')","(1, '5300000000000000000')"
1992,"('0x3611886d2f5e9e297a4679ad475814a2f166e3d0', '11')","(1, '1000099000000000000')"
628,"('0x12fe20de6b441f18ba9a3c9a7a78c9bd16723e8d', '11')","(1, '2070626275038251680')"
1714,"('0x2e5300eabf71950b00ddd6a59690cfd8852ad3b9', '11')","(1, '100000000000000000')"
529,"('0x0f7e46d4a4397d06d43567c9f161ec2bba57cf8e', '11')","(1, '10090000000000000000')"
1201,"('0x21c0a2c88df089de73f09b0ad33a2cd76b9b69ee', '11')","(1, '1000000000000000000')"
1947,"('0x34d2e4d08cddc3ef5b747082818e775d68ecb0f0', '11')","(1, '1000000000000000000')"
2052,"('0x37c34023a052000bd9a8cba562325ddf5e9c1ae3', '11')","(1, '1000009000000000000')"
1946,"('0x34c53ef47c41da3a393b40125bfa9387763b7b71', '11')","(1, '0')"
478,"('0x0d864db5d480b559d85c99fe0e316f3502fea62c', '11')","(1, '1100000000000000000')"
2054,"('0x37c9cf3b0e9eeb5d78d2b5ef168af181871a441e', '11')","(1, '1100000000000000000')"
476,"('0x0d79a798ecec2e56349a029b217ca652bad2be3c', '11')","(1, '1200000000000000000')"
1809,"('0x31b7536d86237976d4053aee58861d49d2a8cba2', '11')","(1, '0')"
