,proposalID.id,voters.id,support,single_vote
904,101,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,1,4244645056554407212
1807,101,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,11500471444371433923
1440,101,0x696d181a7961ee66c42f1ebeddc0b48b106c45ad,1,500000000000000000
116,101,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1,50000000000000000000000
1617,101,0x7a67928bb379974768668d50ab991eefb5f08c0e,1,45897360000000000
905,102,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,1,4244645056554407212
1400,102,0x66cd62c6f8a4bb0cd8720488bcbd1a6221b765f9,1,23126000000000000000
1909,102,0x88fb3d509fc49b515bfeb04e23f53ba339563981,1,105042045795370000000000
571,102,0x2b384212edc04ae8bb41738d05ba20e33277bf33,1,20085713611359932665640
1808,102,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,11500471444371433923
272,102,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,50000000000000000000000
1427,102,0x683a4f9915d6216f73d6df50151725036bd26c02,1,100042801077085216855600
2090,102,0x91400be76b7171cf932ae252390d2b60e2c73013,1,30000000000000000000
527,102,0x2943ea8b50ba884a253286870b34279450bba4e1,1,1000000000000000000
1168,102,0x54a37d93e57c5da659f508069cf65a381b61e189,1,87597598231759879091047
1015,102,0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,1,174539910726058188
1504,102,0x715210da31165a05a2481a512e1c3d253d8e13ff,1,975000000000000000
718,102,0x3acbd79643328d5f7d4f637e043d5ccd92d2c34d,1,108116764718893326
2000,102,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,70014383254833468741034
1262,102,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,1,48306399462058402606729
1428,103,0x683a4f9915d6216f73d6df50151725036bd26c02,1,100042801077085216855600
2267,103,0x9d7711db9cdeacb073d689e79c50c648820ac650,1,90000000000000000000
906,103,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,1,4244645056554407212
2159,103,0x987f05b5eeb8b30b02329d3888bebc3a7424e999,1,1000000000000000000
1016,103,0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,1,174539910726058188
273,103,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,50000000000000000000000
1809,103,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,11500471444371433923
2001,103,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,70014383254833468741034
1910,103,0x88fb3d509fc49b515bfeb04e23f53ba339563981,1,105042045795370000000000
1169,103,0x54a37d93e57c5da659f508069cf65a381b61e189,1,87597598231759879091047
1911,104,0x88fb3d509fc49b515bfeb04e23f53ba339563981,1,105056316837033894909346
572,104,0x2b384212edc04ae8bb41738d05ba20e33277bf33,1,20055923611359932665640
1017,104,0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,1,174539910726058188
907,104,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,1,4244645056554407212
1111,104,0x535b3ddd9939056cb6d74d1253ae1a4adf5d723a,1,50000000000000000000000
1810,104,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,11500471444371433923
1655,105,0x7c5c0816819e0bd13146f1e7747f4786a59100a7,1,200000000000000000
2096,105,0x91f7c7dc5a44276482c102178fe1d620b397c276,1,200000000000000000
1670,105,0x7da0e97cb78832463914392b5d414c1befa1fb01,1,100000000000000000
